Star,Type,Hit start ix,Spec file,CCD file,Hit start wavel,Verdict,Source
BD-114672,K7V,269466,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2023-06-04T01:01:48.415.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2023-06-03T09:09:16.351.fits,6477.5,ET,Core
CD-4911401,N/A,204229,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:25.183.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2005-05-31T03:51:05.988.fits,5823.985,ET,Core
CD-4911401,N/A,231172,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:01:25.993.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2005-05-10T04:34:42.474.fits,6093.55,ET,Repeaters
CoRoT-24,N/A,93086,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:34:35.543.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-11-23T05:50:42.823.fits,4712.58,ET,Repeaters
CoRoT-24,N/A,126381,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:53:13.307.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-11-17T04:56:35.576.fits,5045.66,ET,Repeaters
CoRoT-24,N/A,166593,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:54:11.717.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-11-24T06:04:07.004.fits,5447.73,ET,Repeaters
CoRoT-24,N/A,177045,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:35:18.127.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-12-04T05:29:17.513.fits,5552.13,ET,Repeaters
CoRoT-24,N/A,177227,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:53:42.797.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-16T01:46:11.545.fits,5553.72,ET,Repeaters
CoRoT-24,N/A,194199,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:42:25.780.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2010-02-12T01:24:19.113.fits,5723.29,ET,Repeaters
CoRoT-24,N/A,199806,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:34:35.543.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-11-23T05:50:42.823.fits,5779.78,ET,Repeaters
CoRoT-24,N/A,203760,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:02.437.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-18T04:23:59.478.fits,5819.04,ET,Repeaters
CoRoT-24,N/A,205116,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:54:11.717.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-11-24T06:04:07.004.fits,5832.96,ET,Repeaters
CoRoT-24,N/A,208007,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:12.010.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-14T04:55:44.391.fits,5861.6,ET,Repeaters
CoRoT-24,N/A,216663,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:35:18.127.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-12-04T05:29:17.513.fits,5948.31,ET,Repeaters
CoRoT-24,N/A,220154,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:02.910.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-11-20T05:56:02.541.fits,5983.375,ET,Clusters
CoRoT-24,N/A,225734,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:35:40.290.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-12-05T04:42:05.773.fits,6039.03,ET,Repeaters
CoRoT-24,N/A,237869,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:41:44.857.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2010-02-17T03:34:56.067.fits,6160.02,ET,Repeaters
CoRoT-24,N/A,247077,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:51:25.740.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-22T04:12:46.138.fits,6252.14,ET,Repeaters
CoRoT-24,N/A,270707,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:53:33.313.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-25T01:49:25.109.fits,6488.48,ET,Repeaters
CoRoT-24,N/A,289444,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:36:48.960.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-11-26T05:55:33.755.fits,6676.15,ET,Repeaters
CoRoT-24,N/A,299936,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:35:09.757.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-11-24T04:34:33.827.fits,6781.13,ET,Repeaters
CoRoT-24,N/A,300468,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-23T11:00:47.930.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2009-11-28T06:10:56.607.fits,6786.39,ET,Repeaters
CoRoT-24,N/A,301792,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:33:06.390.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-11-08T07:17:18.816.fits,6799.73,ET,Repeaters
CoRoT-24,N/A,304070,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:51:35.093.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-19T01:47:54.198.fits,6822.12,ET,Repeaters
CoRoT-24,N/A,304077,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:51:35.093.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-19T01:47:54.198.fits,6822.19,ET,Repeaters
CoRoT-32,K0V,239212,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:51:16.443.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-01-27T02:14:50.135.fits,6173.49,ET,Core
CoRoT101614469,N/A,75292,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-18T12:13:37.550.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2008-07-25T04:50:31.896.fits,4534.41,ET,Repeaters
CoRoT101614469,N/A,181237,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-18T12:13:37.550.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2008-07-25T04:50:31.896.fits,5593.86,ET,Repeaters
CoRoT101614469,N/A,181237,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-18T12:13:37.550.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2008-07-25T04:50:31.896.fits,5593.895,ET,Clusters
CoRoT101614469,N/A,290761,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-18T12:10:25.347.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2008-07-30T02:36:24.607.fits,6689.02,ET,Repeaters
CoRoT221699621,K0V,157140,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:35:30.500.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-12-03T06:43:16.408.fits,5353.05,ET,Repeaters
CoRoT221699621,K0V,166505,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:35:30.500.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-12-03T06:43:16.408.fits,5446.725,ET,Clusters
