stars,spectral_types,specfiles,hits_start,hits_end,waves1,waves2,distances,HorK
BD-136424,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-07-27T01:03:11.253.fits,15131,15184,3933.42,3933.95,27.37,T
BD-136424,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-07-27T01:03:11.253.fits,18620,18659,3968.31,3968.7,27.37,T
BD-15705,K3/4,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:19:48.663.fits,15238,15276,3933.69,3934.07,54.84,T
BD-15705,K3/4,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:19:48.663.fits,18724,18751,3968.55,3968.82,54.84,T
CD-281745,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-07-26T01:03:51.069.fits,15183,15218,3933.87,3934.22,15.67,T
CD-281745,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-07-26T01:03:51.069.fits,18666,18696,3968.7,3969.0,15.67,T
CD-461064,K3V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-19T02:01:31.283.fits,15190,15231,3933.65,3934.06,43.92,T
CD-461064,K3V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-19T02:01:31.283.fits,18674,18710,3968.49,3968.85,43.92,T
GJ1009,M1.5,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:20:14.870.fits,15245,15271,3933.76,3934.02,18.05,T
GJ1009,M1.5,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:20:14.870.fits,18726,18749,3968.57,3968.8,18.05,T
GJ1084,K7.0,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-11-13T01:02:11.706.fits,15186,15214,3933.79,3934.07,20.79,T
GJ1084,K7.0,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-11-13T01:02:11.706.fits,18668,18678,3968.61,3968.71,20.79,T
GJ1084,K7.0,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-11-13T01:02:11.706.fits,18679,18697,3968.72,3968.9,20.79,T
GJ1135,M0.5,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:22:10.713.fits,15253,15282,3934.31,3934.6,15.63,T
GJ1135,M0.5,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:22:10.713.fits,18735,18762,3969.13,3969.4,15.63,T
GJ1177,K6+K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-07T08:35:21.600.fits,15150,15186,3933.44,3933.8,,T
GJ1177,K6+K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-07T08:35:21.600.fits,18631,18664,3968.25,3968.58,,T
GJ1279,K6V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:16.460.fits,15222,15257,3933.56,3933.91,14.84,T
GJ1279,K6V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:16.460.fits,18703,18736,3968.37,3968.7,14.84,T
GJ131,K5.5Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:24.240.fits,15251,15256,3933.79,3933.84,18.67,T
GJ131,K5.5Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:24.240.fits,15261,15268,3933.89,3933.96,18.67,T
GJ131,K5.5Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:24.240.fits,18730,18735,3968.58,3968.63,18.67,T
