ARCFILE,Object,RA,DEC,Filter,ABMAGLIM,Wavelength,SNR,R (&lambda;/&delta;&lambda;),Product category,Instrument,Date Obs,Exptime,Collection,Product version,Run/Program ID,ORIGFILE,REFERENC
ADP.2014-10-02T10:03:44.673,IC4651No7646,261.17036,-49.98566,,,378.194..691.345,31.6,115000,SCIENCE.SPECTRUM,HARPS,2005-04-02T07:42:03.896,600.0,HARPS,1,075.C-0140(A),HARPS.2005-04-02T07:42:03.898_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-02T09:59:25.183,IC4651No7646,261.1707,-49.98531,,,378.167..691.303,19.8,115000,SCIENCE.SPECTRUM,HARPS,2005-05-31T03:51:05.986,600.0,HARPS,1,075.C-0140(A),HARPS.2005-05-31T03:51:05.988_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-02T10:01:08.897,IC4651No7646,261.17115,-49.98605,,,378.180..691.322,31.3,115000,SCIENCE.SPECTRUM,HARPS,2005-05-09T05:05:01.353,599.98,HARPS,1,075.C-0140(A),HARPS.2005-05-09T05:05:01.354_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2018-09-03T01:01:50.567,IC4651No7646,261.171512,-49.98558,,,378.154..691.222,30.2,115000,SCIENCE.SPECTRUM,HARPS,2018-09-02T01:56:13.640,650.0,HARPS,1,0101.C-0274(A),HARPS.2018-09-02T01:56:13.640_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2014-10-02T10:02:07.527,IC4651No7646,261.17181,-49.98583,,,378.191..691.349,34.9,115000,SCIENCE.SPECTRUM,HARPS,2005-03-20T08:36:05.403,599.98,HARPS,1,075.C-0140(A),HARPS.2005-03-20T08:36:05.404_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2018-06-15T01:02:27.203,IC4651No7646,261.17229,-49.98411,,,378.188..691.282,28.7,115000,SCIENCE.SPECTRUM,HARPS,2018-06-14T07:05:42.646,650.0,HARPS,1,0101.C-0274(A),HARPS.2018-06-14T07:05:42.648_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2014-10-07T08:34:04.010,IC4651No7646,261.172323,-49.98702,,,378.192..691.349,39.4,115000,SCIENCE.SPECTRUM,HARPS,2014-03-19T09:16:18.170,900.0,HARPS,1,092.C-0282(A),HARPS.2014-03-19T09:16:18.170_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-07T08:34:16.727,IC4651No7646,261.172366,-49.98717,,,378.192..691.349,34.3,115000,SCIENCE.SPECTRUM,HARPS,2014-03-18T09:22:39.490,900.0,HARPS,1,092.C-0282(A),HARPS.2014-03-18T09:22:39.490_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-07T08:35:23.657,IC4651No7646,261.172406,-49.9874,,,378.193..691.349,36.9,115000,SCIENCE.SPECTRUM,HARPS,2014-03-17T08:59:30.953,900.0,HARPS,1,092.C-0282(A),HARPS.2014-03-17T08:59:30.953_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:07:54.253,IC4651No7646,261.17291,-49.98545,,,378.121..691.226,25.1,115000,SCIENCE.SPECTRUM,HARPS,2006-09-04T01:26:23.790,320.7,HARPS,1,076.C-0429(A),HARPS.2006-09-04T01:26:23.790_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-02T09:59:30.207,IC4651No7646,261.17326,-49.98351,,,378.179..691.322,37.1,115000,SCIENCE.SPECTRUM,HARPS,2005-05-10T03:48:07.546,900.0,HARPS,1,075.C-0140(A),HARPS.2005-05-10T03:48:07.546_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-17T11:20:00.640,IC4651No7646,261.17336,-49.98604,,,378.184..691.342,29.1,115000,SCIENCE.SPECTRUM,HARPS,2007-04-10T07:41:17.640,364.5,HARPS,1,079.C-0329(A),HARPS.2007-04-10T07:41:17.640_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-06T10:06:30.140,IC4651No7646,261.173458,-49.9861,,,378.127..691.227,19.6,115000,SCIENCE.SPECTRUM,HARPS,2013-08-31T00:42:51.426,800.0,HARPS,1,091.C-0438(A),HARPS.2013-08-31T00:42:51.426_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
